cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.74	8343	1	79	-71.2338051333333	743.47030240767	417.625019573373	88.0936234408735	749.095534717651	0.861261261261261	0.62017515407071	0.721101263435791	0.799130652846276	0.87569573283859	0.612390528705806	0.720748234395877	0.806355172119245	0.963541666666667	0.360038923126825	0.524203069657615	0.721622675854895	0.846505551926845	0.420369769704833	0.561768530559168	0.703812316715543	0.812126047068209	0.660395718456049	0.728443649373882	0.77644725802761
0.75	8500	1	65	225.202053559313	684.196650954382	391.748827760261	202.600657731373	689.705599386166	0.870353159851301	0.607525137852741	0.715568290353391	0.801043537764092	0.892478302796528	0.600389231268245	0.717859220477021	0.813340363828104	0.965819456617003	0.35744404800519	0.521780303030303	0.720544004184648	0.873779637377964	0.406422315926046	0.554793004206332	0.710398004308879	0.835858585858586	0.644177748945832	0.727605788605972	0.788909192023516
0.76	8621	1	52	341.738457575045	629.131474979764	366.410482764461	249.366068838596	634.19431525896	0.878629224178962	0.598767434317224	0.712191358024691	0.80351701923914	0.89704433497537	0.590658449562115	0.712301975356933	0.812728733374989	0.966578715919085	0.356470969834577	0.52085308056872	0.720089110208361	0.88314447592068	0.40447615958482	0.554838709677419	0.714122093689154	0.84552495697074	0.637366201751541	0.726835583502867	0.793682849987883
0.77	8773	0	43	371.728027559687	576.447612209868	341.768158297195	251.909336097774	580.915942651747	0.892200695479384	0.582549464807006	0.704866562009419	0.806466097889538	0.90334008097166	0.578981511514758	0.705673057916584	0.812323655228907	0.967943009795192	0.352578657152125	0.516880646695197	0.717491749174918	0.897230320699709	0.39928640934155	0.552637485970819	0.718119239295298	0.853744493392071	0.628608498216023	0.724079955165328	0.796678451040039
0.78	8925	0	29	440.641264525604	526.348141956986	317.717362648226	289.321425809108	530.297046864573	0.901900359527478	0.569575089198832	0.698210735586481	0.807653389752553	0.906036745406824	0.559844307492702	0.69206094627105	0.806315986172101	0.968525179856115	0.349335063250081	0.513468414779499	0.715044482804408	0.918552036199095	0.395069737268894	0.552506237242005	0.726123762966496	0.865759637188209	0.619202075900097	0.722012102874433	0.801898681004789
0.79	9081	0	22	420.746097984491	479.757697721847	294.243377473442	269.683730845167	482.412700678379	0.914224826851359	0.556600713590659	0.691935483870968	0.810121801529601	0.909635274904736	0.542004541031463	0.679268292682927	0.800977854472246	0.969034608378871	0.345118391177425	0.508969146137288	0.711705685618729	0.91996891996892	0.384041518001946	0.54187643020595	0.719232171060624	0.876072449952336	0.596172559195589	0.709515537541015	0.800871459694989
0.8	9237	0	17	396.264775362668	434.470081008974	271.394895391049	251.568620155868	437.053731363047	0.917491749174918	0.54103146286085	0.680677412772904	0.805408015451473	0.915083798882682	0.531300681154719	0.67227580545865	0.79957043834814	0.970260223048327	0.338631203373338	0.502043760519356	0.706646811966969	0.938574938574938	0.371715861174181	0.532527881040892	0.719216769172838	0.894763343403827	0.576386636393124	0.70112448214638	0.805749523895892
0.81	9412	0	10	373.022153125655	392.56613641724	249.393736392241	239.901369285084	394.337074341826	0.921246458923513	0.527408368472267	0.670792079207921	0.801538006506951	0.926462072958888	0.518975024326954	0.665280665280665	0.800720648583725	0.969868173258004	0.334090171910477	0.496984318455971	0.702496248806439	0.944397641112047	0.363606876419072	0.525058548009368	0.715745115566339	0.901981230448384	0.561141745053519	0.691861627674465	0.804277080427708
0.82	9535	0	10	336.363508343799	353.002704955342	228.027434956673	221.430599091764	354.33371710077	0.929404900816803	0.516704508595524	0.664165103189494	0.801388469664956	0.936904761904762	0.510541680181641	0.660927986563091	0.802815464653677	0.969552806850619	0.330522218618229	0.492985002418965	0.699190338959791	0.943686006825939	0.358741485566007	0.519858989424207	0.711620126109896	0.903294367693943	0.551410963347389	0.684793554884189	0.801055508434643
0.83	9689	0	8	303.431081059892	315.395094954182	207.348356450335	202.079497503902	316.524049798613	0.937156802928615	0.498216023353876	0.650571791613723	0.796763149704326	0.942307692307692	0.492701913720402	0.647071352502663	0.796873360612737	0.971789883268482	0.324035030814142	0.486013135490148	0.694232105628909	0.952548330404218	0.351605578981512	0.513622364368633	0.70988867059594	0.91796875	0.53357119688615	0.674871794871795	0.802360745293142
